ticker,name,market_regime,adjusted_setup_score,adjusted_setup_status,risk_decision,risk_notes,run_id,journaled_at,review_status,user_action,outcome,notes
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T09:13:08.627175+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T09:13:08.627175+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T09:13:08.627175+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T09:13:08.627175+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T09:13:08.627175+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T09:13:08.627175+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T09:13:08.627175+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T11:32:59.261253+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T11:32:59.261253+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T11:32:59.261253+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T11:32:59.261253+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T11:32:59.261253+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T11:32:59.261253+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T11:32:59.261253+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T11:32:59.261253+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T11:32:59.261253+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T11:32:59.261253+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T11:50:15.319008+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T11:50:15.319008+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T11:50:15.319008+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T11:50:15.319008+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T11:50:15.319008+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T11:50:15.319008+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T11:50:15.319008+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T11:50:15.319008+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T11:50:15.319008+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T11:50:15.319008+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T11:58:11.743457+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T11:58:11.743457+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T11:58:11.743457+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T11:58:11.743457+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T11:58:11.743457+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T11:58:11.743457+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T11:58:11.743457+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T11:58:11.743457+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T11:58:11.743457+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T11:58:11.743457+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T12:46:17.028034+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T12:46:17.028034+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T12:46:17.028034+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T12:46:17.028034+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T12:46:17.028034+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T12:46:17.028034+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T12:46:17.028034+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T12:46:17.028034+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T12:46:17.028034+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T12:46:17.028034+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T17:01:45.249904+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T17:01:45.249904+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T17:01:45.249904+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T17:01:45.249904+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T17:01:45.249904+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T17:01:45.249904+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T17:01:45.249904+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T17:01:45.249904+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T17:01:45.249904+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T17:01:45.249904+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T17:04:57.442648+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T17:04:57.442648+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T17:04:57.442648+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T17:04:57.442648+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T17:04:57.442648+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T17:04:57.442648+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T17:04:57.442648+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T17:04:57.442648+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T17:04:57.442648+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T17:04:57.442648+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T17:12:37.598750+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T17:12:37.598750+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T17:12:37.598750+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T17:12:37.598750+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T17:12:37.598750+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T17:12:37.598750+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T17:12:37.598750+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T17:12:37.598750+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T17:12:37.598750+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T17:12:37.598750+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T17:17:20.888481+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T17:17:20.888481+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T17:17:20.888481+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T17:17:20.888481+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T17:17:20.888481+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T17:17:20.888481+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T17:17:20.888481+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T17:17:20.888481+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T17:17:20.888481+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T17:17:20.888481+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T17:20:37.144167+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T17:20:37.144167+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T17:20:37.144167+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T17:20:37.144167+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T17:20:37.144167+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T17:20:37.144167+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T17:20:37.144167+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T17:20:37.144167+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T17:20:37.144167+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T17:20:37.144167+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T17:25:57.557376+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T17:25:57.557376+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T17:25:57.557376+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T17:25:57.557376+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T17:25:57.557376+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T17:25:57.557376+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T17:25:57.557376+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T17:25:57.557376+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T17:25:57.557376+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T17:25:57.557376+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-16T09:50:58.601490+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-16T09:50:58.601490+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-16T09:50:58.601490+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-16T09:50:58.601490+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-16T09:50:58.601490+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-16T09:50:58.601490+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-16T09:50:58.601490+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-16T09:50:58.601490+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-16T09:50:58.601490+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-16T09:50:58.601490+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-16T10:08:40.852964+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-16T10:08:40.852964+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-16T10:08:40.852964+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-16T10:08:40.852964+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-16T10:08:40.852964+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-16T10:08:40.852964+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-16T10:08:40.852964+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-16T10:08:40.852964+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-16T10:08:40.852964+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-16T10:08:40.852964+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-16T10:10:52.591171+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-16T10:10:52.591171+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-16T10:10:52.591171+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-16T10:10:52.591171+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-16T10:10:52.591171+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-16T10:10:52.591171+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-16T10:10:52.591171+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-16T10:10:52.591171+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-16T10:10:52.591171+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-16T10:10:52.591171+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-16T11:25:27.803995+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-16T11:25:27.803995+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-16T11:25:27.803995+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-16T11:25:27.803995+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-16T11:25:27.803995+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-16T11:25:27.803995+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-16T11:25:27.803995+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-16T11:25:27.803995+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-16T11:25:27.803995+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-16T11:25:27.803995+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-16T11:34:47.355004+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-16T11:34:47.355004+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-16T11:34:47.355004+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-16T11:34:47.355004+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-16T11:34:47.355004+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-16T11:34:47.355004+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-16T11:34:47.355004+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-16T11:34:47.355004+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-16T11:34:47.355004+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-16T11:34:47.355004+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-16T11:39:20.191913+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-16T11:39:20.191913+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-16T11:39:20.191913+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-16T11:39:20.191913+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-16T11:39:20.191913+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-16T11:39:20.191913+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-16T11:39:20.191913+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-16T11:39:20.191913+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-16T11:39:20.191913+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-16T11:39:20.191913+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-16T12:48:39.313244+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-16T12:48:39.313244+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-16T12:48:39.313244+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-16T12:48:39.313244+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-16T12:48:39.313244+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-16T12:48:39.313244+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-16T12:48:39.313244+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-16T12:48:39.313244+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-16T12:48:39.313244+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-16T12:48:39.313244+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
COST,Costco,risk_off,3,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
DDOG,Datadog,risk_off,3,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
RTX,RTX,risk_off,3,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
UNH,UnitedHealth,risk_off,3,watch,approved,clear,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,caution,overextended,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
NET,Cloudflare,risk_off,3,watch,caution,overextended,RUN_20260316T182002Z,2026-03-16T18:20:02.773713+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
COST,Costco,risk_off,3,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
DDOG,Datadog,risk_off,3,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
RTX,RTX,risk_off,3,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
UNH,UnitedHealth,risk_off,3,watch,approved,clear,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,caution,overextended,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
NET,Cloudflare,risk_off,3,watch,caution,overextended,RUN_20260316T182038Z,2026-03-16T18:21:41.085354+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
COST,Costco,risk_off,3,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
DDOG,Datadog,risk_off,3,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
RTX,RTX,risk_off,3,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
UNH,UnitedHealth,risk_off,3,watch,approved,clear,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,caution,overextended,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
NET,Cloudflare,risk_off,3,watch,caution,overextended,RUN_20260316T182511Z,2026-03-16T18:26:14.636634+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
MU,Micron Technology,risk_off,4,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
COST,Costco,risk_off,3,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
CRM,Salesforce,risk_off,3,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
DDOG,Datadog,risk_off,3,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
RTX,RTX,risk_off,3,watch,approved,clear,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
NET,Cloudflare,risk_off,3,watch,caution,overextended,RUN_20260317T110456Z,2026-03-17T11:04:56.252256+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,RUN_20260317T110511Z,2026-03-17T11:06:11.864969+00:00,open,,,
MU,Micron Technology,risk_off,4,watch,approved,clear,RUN_20260317T110511Z,2026-03-17T11:06:11.864969+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,RUN_20260317T110511Z,2026-03-17T11:06:11.864969+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,RUN_20260317T110511Z,2026-03-17T11:06:11.864969+00:00,open,,,
